title,publisher,name
Opening the Knowledge Tombs - Web Based Text Mining as Approach for Re-evaluation of Machine Learning Rules.,Springer,Bostjan Brumen
Machine Learning in Ecosystem Informatics.,Springer,Thomas G. Dietterich
Declarative Modeling for Machine Learning and Data Mining.,Springer,Luc De Raedt
A Machine Learning Technique for Hardness Estimation of QFBV SMT Problems.,EasyChair,Mohammad Abdul Aziz
A Machine Learning Technique for Hardness Estimation of QFBV SMT Problems.,EasyChair,Amr G. Wassal
A Machine Learning Technique for Hardness Estimation of QFBV SMT Problems.,EasyChair,Nevin M. Darwish
Specification Inference and Invariant Generation: A Machine Learning Perspective.,EasyChair,Aditya V. Nori
ModelTracker: Redesigning Performance Analysis Tools for Machine Learning.,ACM,Saleema Amershi
ModelTracker: Redesigning Performance Analysis Tools for Machine Learning.,ACM,Max Chickering
ModelTracker: Redesigning Performance Analysis Tools for Machine Learning.,ACM,Steven M. Drucker
ModelTracker: Redesigning Performance Analysis Tools for Machine Learning.,ACM,Bongshin Lee
ModelTracker: Redesigning Performance Analysis Tools for Machine Learning.,ACM,Patrice Y. Simard
ModelTracker: Redesigning Performance Analysis Tools for Machine Learning.,ACM,Jina Suh
Regroup: interactive machine learning for on-demand group creation in social networks.,ACM,Saleema Amershi
Regroup: interactive machine learning for on-demand group creation in social networks.,ACM,James Fogarty
Regroup: interactive machine learning for on-demand group creation in social networks.,ACM,Daniel S. Weld
Apolo: making sense of large network data by combining rich user interaction and machine learning.,ACM,Duen Horng Chau
Apolo: making sense of large network data by combining rich user interaction and machine learning.,ACM,Aniket Kittur
Apolo: making sense of large network data by combining rich user interaction and machine learning.,ACM,Jason I. Hong
Apolo: making sense of large network data by combining rich user interaction and machine learning.,ACM,Christos Faloutsos
Concept of Interactive Machine Learning in Urban Design Problems.,ACM,Artem M. Chirkin
Concept of Interactive Machine Learning in Urban Design Problems.,ACM,Reinhard König
GaussBox: Prototyping Movement Interaction with Interactive Visualizations of Machine Learning.,ACM,Jules Françoise
GaussBox: Prototyping Movement Interaction with Interactive Visualizations of Machine Learning.,ACM,Frédéric Bevilacqua
GaussBox: Prototyping Movement Interaction with Interactive Visualizations of Machine Learning.,ACM,Thecla Schiphorst
Human-Centred Machine Learning.,ACM,Marco Gillies
Human-Centred Machine Learning.,ACM,Rebecca Fiebrink
Human-Centred Machine Learning.,ACM,Atau Tanaka
Human-Centred Machine Learning.,ACM,Jérémie Garcia
Human-Centred Machine Learning.,ACM,Frédéric Bevilacqua
Human-Centred Machine Learning.,ACM,Alexis Héloir
Human-Centred Machine Learning.,ACM,Fabrizio Nunnari
Human-Centred Machine Learning.,ACM,Wendy E. Mackay
Human-Centred Machine Learning.,ACM,Saleema Amershi
Human-Centred Machine Learning.,ACM,Bongshin Lee
Human-Centred Machine Learning.,ACM,Nicolas D'Alessandro
Human-Centred Machine Learning.,ACM,Joëlle Tilmanne
Human-Centred Machine Learning.,ACM,Todd Kulesza
Human-Centred Machine Learning.,ACM,Baptiste Caramiaux
Using Interactive Machine Learning to Support Interface Development Through Workshops with Disabled People.,ACM,Simon Katan
Using Interactive Machine Learning to Support Interface Development Through Workshops with Disabled People.,ACM,Mick Grierson
Using Interactive Machine Learning to Support Interface Development Through Workshops with Disabled People.,ACM,Rebecca Fiebrink
Interacting with Predictions: Visual Inspection of Black-box Machine Learning Models.,ACM,Josua Krause
Interacting with Predictions: Visual Inspection of Black-box Machine Learning Models.,ACM,Adam Perer
Interacting with Predictions: Visual Inspection of Black-box Machine Learning Models.,ACM,Kenney Ng
Structured labeling for facilitating concept evolution in machine learning.,ACM,Todd Kulesza
Structured labeling for facilitating concept evolution in machine learning.,ACM,Saleema Amershi
Structured labeling for facilitating concept evolution in machine learning.,ACM,Rich Caruana
Structured labeling for facilitating concept evolution in machine learning.,ACM,Danyel Fisher
Structured labeling for facilitating concept evolution in machine learning.,ACM,Denis Xavier Charles
Computational creativity support: using algorithms and machine learning to help people be more creative.,ACM,Dan Morris
Computational creativity support: using algorithms and machine learning to help people be more creative.,ACM,Jimmy Secretan
Lowering the barrier to applying machine learning.,ACM,Kayur Patel
Investigating statistical machine learning as a tool for software development.,ACM,Kayur Patel
Investigating statistical machine learning as a tool for software development.,ACM,James Fogarty
Investigating statistical machine learning as a tool for software development.,ACM,James A. Landay
Investigating statistical machine learning as a tool for software development.,ACM,Beverly L. Harrison
Machine Learning of Personal Gesture Variation in Music Conducting.,ACM,Álvaro Sarasua
Machine Learning of Personal Gesture Variation in Music Conducting.,ACM,Baptiste Caramiaux
Machine Learning of Personal Gesture Variation in Music Conducting.,ACM,Atau Tanaka
Constructivist Design for Interactive Machine Learning.,ACM,Advait Sarkar
